Date,AAPL,MSFT,AMZN,NFLX,META,GOOG,INTC,AMD,NVDA,GE,GS,BAC,JPM,MS
2014-08-22,22.6058,38.8939,16.5795,68.4557,74.57,29.0482,27.0798,4.25,4.5618,133.3783,147.7717,13.453,45.126,26.6988
2014-08-25,22.6549,38.9111,16.701,68.7043,75.02,28.9305,26.9791,4.18,4.569,133.6333,149.7929,13.5865,45.7817,27.2811
2014-08-26,22.5096,38.7689,17.0915,68.48,75.9601,28.8139,26.9713,4.19,4.6515,132.6642,149.8181,13.6199,46.0904,27.4407
2014-08-27,22.7865,38.6526,17.159,67.8143,74.63,28.4718,26.9636,4.16,4.5977,133.2763,150.2067,13.5114,45.9746,27.2253
2014-08-28,22.8133,38.6613,17.001,67.8871,73.855,28.3821,26.8551,4.14,4.6359,132.6642,150.0716,13.353,45.6429,27.1694
2014-08-29,22.869,39.1351,16.952,68.2343,74.82,28.5017,27.0643,4.17,4.6503,132.5112,151.3049,13.4197,45.8666,27.3689
2014-09-02,23.0475,38.8422,17.119,68.0857,76.68,28.7874,26.7931,4.16,4.661,131.8481,151.8625,13.5698,46.0363,27.5603
2014-09-03,22.0748,38.7302,16.95,68.1986,75.83,28.8179,26.7931,4.19,4.7065,132.3582,151.7189,13.4694,46.0595,27.5683
2014-09-04,21.8918,38.9886,17.2975,67.5243,75.95,29.0193,27.0527,4.15,4.7889,132.4092,152.1243,13.4778,46.0672,27.68
2014-09-05,22.0815,39.5485,17.319,67.9543,77.26,29.2237,27.1263,4.15,4.7746,133.1233,151.8456,13.4025,46.2215,27.6241
2014-09-08,21.9454,40.0309,17.117,68.4757,77.89,29.4052,27.3821,4.13,4.7316,133.0213,152.1497,13.6786,46.2061,27.8076
2014-09-09,21.8628,40.2808,16.4875,68.43,76.67,28.9709,27.0566,4.08,4.6718,132.1032,149.8604,13.5029,45.5657,27.0498
2014-09-10,22.5344,40.3497,16.5665,69.1986,77.43,29.0751,27.1418,4.08,4.6885,132.3582,151.9469,13.6869,45.6892,27.3848
2014-09-11,22.6303,40.4875,16.526,68.7943,77.92,28.9879,27.1418,4.08,4.6407,132.7152,152.9015,13.8626,46.1058,27.7039
2014-09-12,22.6816,40.2248,16.5595,68.0786,77.48,28.7022,26.8318,3.96,4.5714,131.9502,154.7346,14.0467,46.3141,27.9272
2014-09-15,22.6749,39.8328,16.1945,65.3929,74.58,28.5765,26.7698,3.91,4.5092,132.2052,155.4189,14.0048,46.2447,28.0868
2014-09-16,22.5031,40.2808,16.388,65.2729,76.08,28.9181,27.0721,3.81,4.575,133.6843,155.4696,13.9797,46.2832,28.007
2014-09-17,22.6638,40.074,16.2,64.9329,76.43,29.1584,27.1108,3.82,4.5785,133.9904,156.1285,14.0299,46.5301,28.366
2014-09-18,22.7106,40.2118,16.25,65.5729,77.0,29.3828,27.2581,3.88,4.6479,134.8133,158.7219,14.2558,47.3093,28.8207
2014-09-19,22.5255,40.9355,16.566,65.36,77.91,29.7224,26.9868,3.81,4.5618,135.2248,157.2943,14.1805,47.1473,28.5255
2014-09-22,22.5478,40.5392,16.225,63.2543,76.8,29.2881,26.9016,3.76,4.5164,134.1447,156.5255,14.2475,46.993,28.0629
2014-09-23,22.9003,40.1085,16.1815,63.4143,78.29,28.9769,26.6768,3.69,4.4972,133.8361,156.3566,14.2642,47.0162,27.9352
2014-09-24,22.7017,40.5564,16.4105,64.3657,78.535,29.319,26.9326,3.7,4.5235,133.3731,158.6543,14.373,47.5485,27.9033
2014-09-25,21.836,39.6605,16.0965,63.3557,77.22,28.6742,26.4598,3.63,4.4255,131.4186,155.5118,14.0969,46.4067,27.2971
2014-09-26,22.4786,39.9793,16.1605,64.1071,78.79,28.776,26.5528,3.6,4.4339,131.8301,156.3819,14.2475,46.723,27.6401
2014-09-29,22.3358,40.0051,16.091,64.2229,79.0,28.7391,27.0488,3.55,4.4267,130.7499,155.2922,14.2307,46.5455,27.5204
2014-09-30,22.4786,39.9362,16.122,64.4543,79.04,28.7889,26.9868,3.41,4.4112,131.7786,155.0726,14.2642,46.4761,27.5763
2014-10-01,22.1283,39.5399,15.873,62.6857,76.55,28.3357,26.3435,3.35,4.3681,129.4126,152.6481,14.0718,46.1135,27.0897
2014-10-02,22.289,39.4193,15.9205,64.2829,77.08,28.4259,25.9793,3.39,4.349,129.2068,154.4897,14.122,45.7018,27.3449
2014-10-03,22.2265,39.7036,16.137,65.6486,77.44,28.6852,26.3745,3.4,4.3586,130.647,158.874,14.465,46.8358,27.9592
2014-10-06,22.2265,39.7036,16.11,66.2114,77.555,28.7884,26.4365,3.36,4.3323,129.7212,158.3756,14.465,46.7426,27.9113
2014-10-07,22.0324,39.2212,15.849,65.1786,76.29,28.1098,25.9405,3.28,4.2857,127.6123,155.2668,14.122,46.0358,27.1375
2014-10-08,22.4898,40.298,16.135,66.6943,77.52,28.5466,26.5606,3.28,4.3657,129.8755,157.666,14.3228,46.9135,27.5204
2014-10-09,22.5388,39.4969,15.7685,65.9457,75.91,27.9672,26.0568,2.95,4.2821,127.458,153.1296,13.8794,45.8882,26.5632
2014-10-10,22.4741,37.929,15.5695,64.5829,72.91,27.1499,24.7315,2.72,4.0274,124.8348,152.3778,13.7873,45.4533,26.276
2014-10-13,22.2689,37.6017,15.3225,62.6543,72.99,26.5875,24.3904,2.74,4.0131,123.1888,151.0177,13.7204,45.1737,26.2042
2014-10-14,22.0324,37.6706,15.4155,64.16,73.59,26.8233,24.9097,2.62,4.1063,123.9604,150.9586,13.8208,45.0416,26.3319
2014-10-15,21.7624,37.2313,15.2985,64.0843,73.21,26.4289,24.2393,2.61,4.1697,124.8862,149.7252,13.185,43.1309,26.0128
2014-10-16,21.4768,36.8178,15.143,51.6714,72.63,26.1537,23.9099,2.64,4.1721,124.7319,145.7886,13.4527,42.7814,25.949
2014-10-17,21.7914,37.5845,15.182,51.0129,75.95,25.4885,24.3207,2.72,4.1649,127.6638,149.4465,13.5614,43.6513,26.4994
2014-10-20,22.2577,37.9721,15.3105,51.3171,76.95,25.9707,24.4757,2.67,4.2008,128.7439,150.2321,13.6033,43.9853,26.5791
2014-10-21,22.8624,38.6613,15.7665,52.2843,78.69,26.2549,25.274,2.77,4.3801,130.9042,152.2088,13.8877,44.995,27.1694
2014-10-22,22.9784,38.2305,15.6485,53.5214,78.37,26.5625,25.0105,2.64,4.2773,129.5669,149.3789,13.7204,44.6222,26.6669
2014-10-23,23.3889,38.7819,15.659,54.72,80.04,27.1245,25.336,2.69,4.3717,130.8528,152.1074,13.8877,45.096,27.0897
2014-10-24,23.4759,39.7381,14.353,55.0029,80.67,26.9151,25.7158,2.68,4.4183,131.8815,154.8867,13.9881,45.6242,27.3768
2014-10-27,23.4514,39.5485,14.4985,54.2,80.28,26.9644,25.7313,2.66,4.4207,131.2643,155.3598,13.8794,45.5465,27.0897
2014-10-28,23.815,40.0482,14.7795,55.1743,80.77,27.3698,26.1498,2.72,4.5259,133.116,157.3956,14.055,46.3154,27.4087
